
1000	28238
1100	33322
1200	41444
1300	47388
1400	54345
1500	62065
1600	71819
1700	78094
1800	85806
1900	96985
2000	106083
2100	118550
2200	128624
2300	141717
2400	150137
2500	163002
2600	176171
2700	191975
2800	204934
2900	218386
1000	28836
1100	33587
1200	39966
1300	49217
1400	53839
1500	60465
1600	69883
1700	77474
1800	88067
1900	98922
2000	107289
2100	117112
2200	130076
2300	140013
2400	152094
2500	165165
2600	180361
2700	191716
2800	205822
2900	222598
1000	28325
1100	33867
1200	40116
1300	46802
1400	54723
1500	61165
1600	69524
1700	79597
1800	88216
1900	97837
2000	107886
2100	120738
2200	130516
2300	141065
2400	152987
2500	166963
2600	183874
2700	190465
2800	205303
2900	220799
1000	29206
1100	32991
1200	39640
1300	47335
1400	54046
1500	61597
1600	68207
1700	77820
1800	85635
1900	95922
2000	110254
2100	115786
2200	129454
2300	142222
2400	150553
2500	169226
2600	177207
2700	191215
2800	207719
2900	222615
1000	29893
1100	34071
1200	40986
1300	45538
1400	54268
1500	61753
1600	70369
1700	76564
1800	87962
1900	95828
2000	104305
2100	118444
2200	127626
2300	140659
2400	149744
2500	161953
2600	179027
2700	193422
2800	206281
2900	222779
1000	28106
1100	34727
1200	38333
1300	47647
1400	55141
1500	61551
1600	69335
1700	81025
1800	85075
1900	96713
2000	107243
2100	119916
2200	128635
2300	142928
2400	153561
2500	164382
2600	178925
2700	190673
2800	206256
2900	219613
1000	28408
1100	33406
1200	40333
1300	46423
1400	52755
1500	60835
1600	71439
1700	76924
1800	88691
1900	96426
2000	106953
2100	117089
2200	127664
2300	138625
2400	151459
2500	163342
2600	179208
2700	192978
2800	207551
2900	220525
1000	29081
1100	35477
1200	39754
1300	46169
1400	54847
1500	61871
1600	69341
1700	79266
1800	90350
1900	97287
2000	104929
2100	116943
2200	127006
2300	139463
2400	150775
2500	162879
2600	178772
2700	190893
2800	205104
2900	220386
1000	28285
1100	34556
1200	39631
1300	47204
1400	53468
1500	61289
1600	69729
1700	78152
1800	87807
1900	96993
2000	105078
2100	117577
2200	131324
2300	139757
2400	151817
2500	166028
2600	178157
2700	192375
2800	206582
2900	221689
1000	28593
1100	33427
1200	39116
1300	46169
1400	54229
1500	63181
1600	68369
1700	77313
1800	88600
1900	98007
2000	106328
2100	118413
2200	126551
2300	137508
2400	151408
2500	163967
2600	180056
2700	192942
2800	204583
2900	222962
1000	28135
1100	33813
1200	40576
1300	46850
1400	54106
1500	62103
1600	70707
1700	78499
1800	88786
1900	96596
2000	108342
2100	116766
2200	130094
2300	142154
2400	153089
2500	166150
2600	178891
2700	190865
2800	200821
2900	220286
1000	29317
1100	34327
1200	40927
1300	45185
1400	53257
1500	62260
1600	69292
1700	77879
1800	86612
1900	97435
2000	110135
2100	116685
2200	128458
2300	139632
2400	154071
2500	165557
2600	176721
2700	190063
2800	204017
2900	221640
1000	28967
1100	33707
1200	39492
1300	48147
1400	54029
1500	62879
1600	70216
1700	77737
1800	87931
1900	97123
2000	105569
2100	116232
2200	128284
2300	140086
2400	155655
2500	168268
2600	178139
2700	195550
2800	204781
2900	219412
1000	28256
1100	34442
1200	38977
1300	47531
1400	55274
1500	61325
1600	68198
1700	78340
1800	87323
1900	95730
2000	106649
2100	116037
2200	131810
2300	139417
2400	152992
2500	166686
2600	177105
2700	197095
2800	204563
2900	219974
1000	30103
1100	33669
1200	39832
1300	47244
1400	53573
1500	64752
1600	70599
1700	77188
1800	86113
1900	96334
2000	106707
2100	117391
2200	129210
2300	138715
2400	153507
2500	167351
2600	185813
2700	190812
2800	204481
2900	221881
10	24
20	42
40	122
80	349
160	1099
320	3804
640	12112
1280	44638
2560	179023
5120	679698
10	21
20	50
40	135
80	375
160	1100
320	3613
640	12317
1280	44952
2560	176659
5120	670960
10	21
20	50
40	135
80	513
160	1094
320	3402
640	12126
1280	44146
2560	173861
5120	673195
10	20
20	62
40	157
80	513
160	1094
320	3402
640	12126
1280	45284
2560	172712
5120	677824
10	20
20	50
40	135
80	572
160	989
320	3724
640	11652
1280	45284
2560	174794
5120	674918
10	18
20	47
40	178
80	321
160	1094
320	3544
640	12809
1280	44964
2560	174561
5120	675398
10	20
20	79
40	173
80	460
160	1347
320	3430
640	12049
1280	45666
2560	174561
5120	675033
10	13
20	50
40	159
80	348
160	1073
320	3501
640	12315
1280	46413
2560	174523
5120	671021
10	27
20	69
40	122
80	356
160	1165
320	3407
640	11652
1280	45580
2560	171526
5120	671307
10	33
20	68
40	163
80	405
160	1270
320	3709
640	12395
1280	45573
2560	172513
5120	677288
10	15
20	56
40	123
80	373
160	987
320	3205
640	12262
1280	45222
2560	172196
5120	670240
10	16
20	53
40	112
80	441
160	1032
320	3639
640	11953
1280	44861
2560	171772
5120	670240
10	18
20	57
40	143
80	473
160	1228
320	3660
640	13209
1280	44262
2560	177428
5120	675427
10	32
20	88
40	161
80	468
160	1167
320	3440
640	12024
1280	45159
2560	170810
5120	671314
10	27
20	39
40	159
80	433
160	1138
320	3710
640	12874
1280	46722
2560	175396
5120	670774
